Location,Latitude,Longitude
Tirupati,13.77928955,79.83512262283737
Vijayawada,16.5087573,80.6185089
Visakhapatnam,17.7231276,83.3012842
Rajamahendravaram,17.0050454,81.7804732
Amaravati,16.5096679,80.5184535
Anantapur,14.6546235,77.55625984224562
Chittoor,13.1601048,79.15555061803596
Tirupati,13.77928955,79.83512262283737
Vijayawada,16.5087573,80.6185089
Kadapa,14.4752936,78.8216861
Naharlagun,27.103045,93.6923923
Guwahati,26.1805978,91.753943
Guwahati,26.1805978,91.753943
Guwahati,26.1805978,91.753943
Sivasagar,26.9834936,94.6394226
Nalbari,26.42386165,91.45122754621168
Guwahati,26.1805978,91.753943
Byrnihat,26.0543348,91.8696498
Silchar,24.817861100000002,92.75622075294373
Nagaon,26.30414915,92.71605974430346
Patna,25.6093239,85.1235252
Muzaffarpur,26.1667052,85.4166314
Gaya,24.7964355,85.0079563
Patna,25.6093239,85.1235252
Patna,25.6093239,85.1235252
Patna,25.6093239,85.1235252
Hajipur,25.7215853,85.2549691837086
Patna,25.6093239,85.1235252
Gaya,24.7964355,85.0079563
Patna,25.6093239,85.1235252
Muzaffarpur,26.1667052,85.4166314
Rajgir,25.0299973,85.4207368
Bihar Sharif,25.193859,85.5208617
Motihari,26.66951195,84.95741062485514
Bettiah,26.791072749999998,84.56010678772793
Darbhanga,26.156999,85.8995065
Sasaram,24.9001003,84.0182110684575
Munger,25.38664225,86.49962883662877
Muzaffarpur,26.1667052,85.4166314
Chhapra,25.7784105,84.7514507
Bhagalpur,25.2494829,86.9828131
Aurangabad,19.877263,75.3390241
Bhagalpur,25.2494829,86.9828131
Manguraha,26.3583278,85.3281977
Purnia,26.0,87.5
Gaya,24.7964355,85.0079563
Buxar,25.5716195,83.9729568
Saharsa,26.0,86.75
Kishanganj,25.6723524,86.92184900670425
Araria,26.157209950000002,87.46505969990433
Siwan,26.263246600000002,84.32254962309293
Katihar,25.550475849999998,87.59414680800401
Arrah,25.62345725,84.59683868653386
Samastipur,25.88078985,85.73886924058144
Begusarai,25.4139122,86.1348804
Bilaspur,28.868311,79.29807496695935
Bhilai,21.2120677,81.3732849
Korba,22.3547468,82.7110855
Raipur,21.2380912,81.6336993
Bhilai,21.2120677,81.3732849
Bhilai,21.2120677,81.3732849
Raipur,21.2380912,81.6336993
